Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Ticket
0,3,0,0.275,1,0,7.25,2,2,15.0
1,1,1,0.475,1,0,71.2833,2,0,817599.0
1,3,1,0.325,0,0,7.925,2,2,152.0
1,1,1,0.4375,1,0,53.1,2,2,113803.0
0,3,0,0.4375,0,0,8.05,2,2,373450.0
0,3,0,0.0,0,0,15.75,2,1,8.0
0,1,0,0.675,0,0,51.8625,4,2,17463.0
0,3,0,0.025,3,1,21.075,2,2,349909.0
1,3,1,0.3375,0,2,11.1333,2,2,347742.0
1,2,1,0.175,1,0,30.0708,2,0,237736.0
1,3,1,0.05,1,1,16.7,6,2,99549.0
1,1,1,0.725,0,0,26.55,2,2,113783.0
0,3,0,0.25,0,0,8.05,2,2,15.0
0,3,0,0.4875,1,5,31.275,2,2,347082.0
0,3,1,0.175,0,0,7.8542,2,2,350406.0
1,2,1,0.6875,0,0,16.0,2,2,248706.0
0,3,0,0.025,4,1,29.125,2,1,382652.0
1,2,0,0.0,0,0,15.75,2,2,13.0
0,3,1,0.3875,1,0,18.0,2,2,345763.0
1,3,1,0.0,0,0,15.75,2,0,7.0
0,2,0,0.4375,0,0,26.0,2,2,239865.0
1,2,0,0.425,0,0,13.0,3,2,248698.0
1,3,1,0.1875,0,0,8.0292,2,1,330923.0
1,1,0,0.35,0,0,35.5,0,2,113788.0
0,3,1,0.1,3,1,21.075,2,2,349909.0
1,3,1,0.475,1,5,31.3875,2,2,347077.0
0,3,0,0.0,0,0,15.75,2,0,7.0
0,1,0,0.2375,3,2,263.0,2,2,19950.0
1,3,1,0.0,0,0,15.75,2,1,7.0
0,3,0,0.0,0,0,15.75,2,2,7.0
0,1,0,0.5,0,0,27.7208,2,0,817601.0
1,1,1,0.0125,0,0,15.75,2,0,146.0
1,3,1,0.0,0,0,15.75,2,1,7.0
0,2,0,0.825,0,0,10.5,2,2,324579.0
0,1,0,0.35,1,0,82.1708,2,0,817604.0
0,1,0,0.525,1,0,52.0,2,2,113789.0
1,3,0,0.0,0,0,15.75,2,0,7.0
0,3,0,0.2625,0,0,8.05,2,2,15.0
0,3,1,0.225,2,0,18.0,2,2,345764.0
1,3,1,0.175,1,0,11.2417,2,0,2651.0
0,3,1,0.5,1,0,9.475,2,2,7546.0
0,2,1,0.3375,1,0,21.0,2,2,11668.0
0,3,0,0.0,0,0,15.75,2,0,7.0
1,2,1,0.0375,1,2,41.5792,2,0,112123.0
1,3,1,0.2375,0,0,7.8792,2,1,330958.0
0,3,0,0.0,0,0,15.75,2,2,8.0
0,3,0,0.0125,0,0,15.75,2,1,15.0
1,3,1,0.0,0,0,15.75,2,1,7.0
0,3,0,0.025,0,0,15.75,2,0,21.0
0,3,1,0.225,1,0,17.8,2,2,349237.0
0,3,0,0.0875,4,1,39.6875,2,2,3101295.0
0,3,0,0.2625,0,0,7.8,2,2,14.0
1,1,1,0.6125,1,0,76.7292,3,0,817572.0
1,2,1,0.3625,1,0,26.0,2,2,2926.0
0,1,0,0.8125,0,1,61.9792,1,0,113509.0
1,1,0,0.0,0,0,15.75,2,2,35.0
1,2,1,0.2625,0,0,10.5,2,2,331026.0
0,3,0,0.35,0,0,7.2292,2,0,2697.0
1,2,1,0.0625,1,2,27.75,2,2,334651.0
0,3,0,0.1375,5,2,46.9,2,2,42144.0
0,3,0,0.275,0,0,7.2292,2,0,2669.0
1,1,1,0.475,0,0,80.0,1,2,113572.0
0,1,0,0.5625,1,0,83.475,2,2,36973.0
0,3,0,0.05,3,2,27.9,2,2,347088.0
0,1,0,0.0,0,0,15.75,2,0,27.0
1,3,0,0.0125,1,0,15.75,2,0,15.0
1,2,1,0.3625,0,0,10.5,5,2,329395.0
0,3,0,0.2375,0,0,8.1583,2,2,103464.0
1,3,1,0.2125,4,2,7.925,2,2,3101281.0
0,3,0,0.325,2,0,8.6625,2,2,315151.0
0,2,0,0.4,0,0,10.5,2,2,333111.0
0,3,1,0.2,5,2,46.9,2,2,42144.0
0,2,0,0.2625,0,0,73.5,2,2,1014879.0
0,3,0,0.325,1,0,14.4542,2,0,2680.0
1,3,0,0.4,0,0,56.4958,2,2,1601.0
0,3,0,0.3125,0,0,7.65,5,2,348123.0
0,3,0,0.0,0,0,15.75,2,2,7.0
0,3,0,0.0,0,0,15.75,2,2,8.0
1,2,0,0.0125,0,2,29.0,2,2,248738.0
1,3,1,0.375,0,0,12.475,2,2,364516.0
0,3,0,0.275,0,0,9.0,2,2,345767.0
1,3,0,0.3625,0,0,9.5,2,2,345779.0
1,3,1,0.0,0,0,15.75,2,1,7.0
0,1,0,0.35,0,0,47.1,2,2,113059.0
1,2,1,0.2125,0,0,10.5,2,2,1314885.0
1,3,1,0.4125,3,0,15.85,2,2,3101278.0
0,3,0,0.2,1,3,34.375,2,2,176608.0
0,3,0,0.0,0,0,15.75,2,2,8.0
1,1,1,0.2875,3,2,263.0,2,2,19950.0
0,3,0,0.3,0,0,8.05,2,2,343275.0
0,3,0,0.3625,0,0,8.05,2,2,343276.0
0,3,0,0.25,0,0,7.8542,2,2,347466.0
0,1,0,0.575,1,0,61.175,4,2,175734.0
0,3,0,0.325,1,2,20.575,2,2,32315.0
0,3,0,0.7375,0,0,7.25,2,2,364500.0
0,3,0,0.0,0,0,15.75,2,2,8.0
0,1,0,0.8875,0,0,34.6542,0,0,817754.0
1,1,0,0.2875,0,1,63.3583,3,0,817759.0
1,2,1,0.425,0,1,23.0,2,2,231919.0
0,2,0,0.425,1,0,26.0,2,2,244367.0
0,3,1,0.35,0,0,7.8958,2,2,349245.0
0,3,0,0.0,0,0,15.75,2,2,7.0
0,1,0,0.2625,0,1,77.2875,3,2,35281.0
0,3,0,0.4125,0,0,8.6542,2,2,7540.0
0,3,0,0.4625,2,0,7.925,2,2,3101276.0
0,3,0,0.35,0,0,7.8958,2,2,349207.0
1,3,1,0.2625,0,0,7.65,2,2,343120.0
1,3,0,0.0,0,0,15.75,2,2,7.0
0,3,0,0.475,0,0,7.8958,2,2,349249.0
1,3,1,0.0125,0,0,15.75,2,1,24.0
0,1,0,0.5875,0,0,52.0,2,2,110465.0
0,3,1,0.175,1,0,14.4542,2,0,2665.0
0,3,0,0.275,0,0,8.05,2,2,324669.0
0,3,1,0.25,1,0,9.825,2,2,4136.0
0,3,1,0.2125,0,0,14.4583,2,0,2627.0
0,3,0,0.2625,0,0,7.925,2,2,152.0
0,3,0,0.875,0,0,7.75,2,1,370369.0
0,2,0,0.3625,1,0,21.0,2,2,11668.0
0,1,0,0.3,0,1,247.5208,1,0,817558.0
0,3,1,0.025,4,2,31.275,2,2,347082.0
0,2,0,0.2625,2,0,73.5,2,2,1014879.0
0,3,0,0.0,0,0,15.75,2,2,8.0
0,2,0,0.4,1,0,30.0708,2,0,237736.0
1,2,1,0.4,0,0,13.0,4,2,27267.0
0,1,0,0.675,0,1,77.2875,3,2,35281.0
1,3,0,0.15,1,0,11.2417,2,0,2651.0
0,3,0,0.0,0,0,15.75,2,1,7.0
1,3,0,0.3,0,0,7.1417,2,2,317369.0
1,3,1,0.0125,1,0,15.75,2,0,22.0
0,3,0,0.5625,0,0,6.975,2,2,347061.0
0,3,0,0.4125,0,0,7.8958,2,0,349241.0
0,3,0,0.25,0,0,7.05,2,2,143101307.0
0,3,1,0.5875,1,0,14.5,2,2,15.0
1,2,1,0.3625,1,0,26.0,2,2,228414.0
0,2,0,0.3125,0,0,13.0,2,2,329178.0
0,2,0,0.2875,0,0,15.0458,2,0,112133.0
1,1,1,0.2375,0,2,26.2833,3,2,11752.0
0,1,0,0.4625,1,0,53.1,2,2,113803.0
0,3,0,0.2,0,0,9.2167,2,2,7534.0
0,1,0,0.3,0,0,79.2,1,0,817593.0
0,3,1,0.0,2,0,15.75,2,0,15.0
1,3,1,0.275,0,0,7.75,2,2,347081.0
1,3,1,0.3,1,0,15.85,2,2,152.0
0,3,0,0.2375,0,0,6.75,2,1,365222.0
0,2,0,0.225,0,0,11.5,2,2,231945.0
0,2,0,0.2375,1,1,36.75,2,2,333112.0
1,3,0,0.3375,0,0,7.7958,2,2,350043.0
0,3,1,0.1125,2,2,34.375,2,2,176608.0
0,2,0,0.45,0,2,26.0,5,2,230080.0
0,2,0,0.525,0,0,13.0,2,2,244310.0
0,2,0,0.6375,0,0,12.525,2,2,101166.0
1,1,1,0.275,1,0,66.6,2,2,113776.0
0,3,0,0.7,0,0,8.05,2,2,15.0
0,3,0,0.5,0,2,14.5,2,2,15.0
0,3,0,0.0,0,0,15.75,2,2,7.0
0,1,0,0.6375,0,1,61.3792,2,0,817597.0
1,3,1,0.2,0,0,7.7333,2,1,35851.0
0,3,0,0.375,0,0,8.05,2,2,14392090.0
0,3,0,0.0,0,0,15.75,2,2,8.0
0,3,0,0.1,2,0,15.75,2,2,69.0
0,3,0,0.55,0,1,16.1,2,2,371362.0
1,2,1,0.5,0,0,15.75,2,2,333595.0
0,3,0,0.325,0,0,7.775,2,2,347068.0
0,3,0,0.2125,0,0,8.6625,2,2,315093.0
0,3,0,0.0125,4,1,39.6875,2,2,3101295.0
1,3,0,0.1125,0,2,20.525,2,2,363291.0
1,1,1,0.0,1,0,15.75,2,2,55.0
0,3,1,0.5625,1,4,27.9,2,2,347088.0
0,1,0,0.0,0,0,15.75,2,2,25.0
0,3,0,0.35,0,0,56.4958,2,2,1601.0
0,1,0,0.7625,0,0,33.5,1,2,111240.0
0,3,0,0.05,4,1,29.125,2,1,382652.0
1,3,1,0.0125,1,1,11.1333,2,2,347742.0
0,3,0,0.2625,0,0,7.925,2,2,152.0
0,1,0,0.7,0,0,30.6958,0,0,17764.0
0,3,0,0.225,1,1,7.8542,2,2,350404.0
0,3,0,0.0375,1,0,15.75,2,2,25.0
0,1,1,0.625,0,0,28.7125,2,0,817595.0
0,2,0,0.375,0,0,13.0,2,2,250653.0
0,3,0,0.45,0,0,0.0,2,2,60.0
0,3,1,0.1,2,0,15.75,2,2,69.0
0,2,0,0.0,0,0,15.75,2,0,15.0
0,3,0,0.1125,4,2,31.3875,2,2,347077.0
1,2,0,0.0125,2,1,39.0,5,2,230136.0
1,3,1,0.05,0,2,22.025,2,2,315153.0
0,1,0,0.0,0,0,15.75,2,2,50.0
1,3,1,0.0125,0,0,15.75,2,1,15.0
1,1,0,0.5625,0,0,26.55,2,2,111428.0
0,3,0,0.5,1,1,15.5,2,1,364849.0
0,3,0,0.45,0,0,7.8958,2,2,349247.0
1,2,1,0.4,0,0,13.0,2,2,234604.0
0,2,0,0.2375,0,0,13.0,2,2,28424.0
1,3,1,0.2375,1,0,7.8542,2,2,350046.0
1,2,0,0.0375,1,1,26.0,5,2,230080.0
1,1,1,0.55,0,0,27.7208,1,0,817610.0
1,1,1,0.725,0,0,146.5208,1,0,817569.0
0,3,0,0.0,0,0,15.75,2,1,7.0
0,3,0,0.525,0,1,8.4042,2,2,4579.0
1,3,1,0.0,0,0,15.75,2,1,7.0
0,2,1,0.3,0,0,13.0,2,2,248747.0
0,3,0,0.35,0,0,9.5,2,2,345770.0
0,3,0,0.1,2,0,15.75,2,2,69.0
0,3,0,0.425,0,0,6.4958,2,2,3101264.0
0,3,0,0.575,0,0,7.225,2,0,2628.0
1,3,0,0.225,0,0,8.05,2,2,15.0
0,3,1,0.025,0,1,10.4625,6,2,347054.0
0,3,0,0.4,1,0,15.85,2,2,3101278.0
1,3,0,0.325,0,0,18.7875,2,0,2699.0
1,3,1,0.2,0,0,7.75,2,1,367231.0
1,1,0,0.5,0,0,31.0,0,0,112277.0
0,3,0,0.3,0,0,7.05,2,2,143101311.0
1,2,1,0.4375,0,0,21.0,2,2,513528.0
0,3,0,0.275,0,0,7.25,2,2,15.0
0,2,0,0.375,0,0,13.0,2,2,250646.0
0,3,0,0.0125,0,0,15.75,2,1,7.0
1,1,1,0.3875,1,0,113.275,3,0,35273.0
1,3,1,0.3375,0,0,7.925,2,2,152.0
0,2,0,0.525,1,0,27.0,2,2,243847.0
1,1,1,0.4,0,0,76.2917,3,0,11813.0
0,2,0,0.375,0,0,10.5,2,2,1714208.0
1,3,0,0.2,0,0,8.05,2,2,14392089.0
0,2,0,0.3375,0,0,13.0,2,2,220367.0
0,3,0,0.6375,0,0,8.05,2,2,21440.0
0,3,0,0.0,0,0,15.75,2,2,7.0
1,1,0,0.475,1,0,90.0,2,2,19943.0
0,3,0,0.275,0,0,9.35,2,2,94348.0
1,2,0,0.2375,0,0,10.5,2,2,16751.0
0,3,0,0.25,0,0,7.25,2,2,15.0
0,2,0,0.225,0,0,13.0,2,2,236171.0
0,3,1,0.0375,1,0,15.75,2,2,25.0
1,1,1,0.4375,1,0,83.475,2,2,36973.0
0,3,0,0.3625,0,0,7.775,2,2,347067.0
0,2,0,0.7375,0,0,13.5,2,2,237442.0
1,3,1,0.0625,4,2,31.3875,2,2,347077.0
0,2,0,0.3,0,0,10.5,2,2,329566.0
0,3,1,0.0,0,0,15.75,2,2,7.0
0,2,0,0.55,1,0,26.0,2,2,26707.0
1,2,1,0.1,0,2,26.25,2,2,331921.0
0,2,0,0.2375,0,0,10.5,2,2,28665.0
0,2,0,0.4125,0,0,12.275,2,2,121585.0
0,3,1,0.0125,0,0,15.75,2,0,14.0
1,3,1,0.0125,0,0,15.75,2,1,15.0
0,2,0,0.3625,0,0,10.5,2,2,1714263.0
0,3,0,0.275,0,0,7.125,2,2,152.0
0,3,0,0.375,0,0,7.225,2,0,2694.0
0,1,0,0.55,2,0,90.0,2,1,19928.0
0,3,1,0.3125,0,0,7.775,2,2,347071.0
1,2,1,0.3,0,2,14.5,2,2,250649.0
1,1,0,0.4625,1,1,52.5542,3,2,11751.0
0,2,0,0.675,1,0,26.0,2,2,244252.0
0,3,0,0.0,0,0,15.75,2,2,7.0
0,3,1,0.3625,1,1,10.4625,6,2,347054.0
0,1,0,0.775,0,0,26.55,2,2,113514.0
0,3,0,0.375,1,0,16.1,2,2,15.0
0,3,1,0.5125,0,2,20.2125,2,2,370129.0
1,3,1,0.3625,0,2,15.2458,2,0,2650.0
1,1,1,0.0,0,0,15.75,2,0,79.0
1,1,1,0.375,0,0,86.5,1,2,110152.0
1,1,1,0.4375,0,0,512.3292,2,0,817755.0
1,2,1,0.625,0,1,26.0,2,2,230433.0
0,3,0,0.0,0,0,15.75,2,1,7.0
1,3,0,0.0375,4,2,31.3875,2,2,347077.0
0,1,0,0.65,1,1,79.65,4,2,110413.0
0,1,0,0.5,0,0,0.0,1,2,112059.0
0,3,1,0.0,0,0,15.75,2,1,7.0
0,2,0,0.45,0,0,10.5,2,2,317248.0
0,3,0,0.2,4,1,39.6875,2,2,3101295.0
1,3,0,0.3125,1,0,7.775,2,2,347083.0
1,1,1,0.725,0,1,153.4625,2,2,817582.0
1,1,1,0.4375,0,0,135.6333,2,2,817760.0
0,1,0,0.0,0,0,15.75,2,2,31.0
1,3,0,0.3125,0,0,0.0,2,2,60.0
1,2,1,0.5125,0,1,19.5,2,2,250644.0
0,1,0,0.4625,0,1,29.7,2,0,817596.0
1,3,1,0.0,0,0,15.75,2,1,7.0
1,1,1,0.7875,1,0,77.9583,3,2,13502.0
0,3,1,0.5625,0,0,7.75,2,2,347073.0
0,2,0,0.0,0,0,15.75,2,2,0.0
0,3,0,0.0875,4,1,29.125,2,1,382652.0
1,3,1,0.4375,1,1,20.25,2,2,32673.0
0,3,0,0.8125,0,0,7.75,2,1,336439.0
0,3,0,0.35,0,0,7.8542,2,2,347464.0
0,3,0,0.2,0,0,9.5,2,2,345778.0
1,3,0,0.2375,0,0,8.05,2,2,15.0
0,1,0,0.0,0,0,15.75,2,2,26.0
0,3,0,0.4125,0,0,8.6625,2,0,349239.0
1,3,0,0.375,0,0,9.5,2,2,345774.0
0,3,0,0.275,0,0,7.8958,2,2,349206.0
1,2,0,0.525,0,0,13.0,2,2,237798.0
1,3,1,0.275,0,0,7.75,2,1,370373.0
1,1,1,0.325,0,0,78.85,2,2,19877.0
1,1,1,0.2375,1,0,91.0792,1,0,11967.0
0,2,0,0.45,0,0,12.875,3,0,112163.0
0,3,1,0.3,0,0,8.85,2,2,349236.0
0,3,0,0.3,0,0,7.8958,2,2,349233.0
0,1,0,0.0,0,0,15.75,2,0,27.0
0,3,0,0.3,0,0,7.2292,2,0,2693.0
0,1,1,0.025,1,2,151.55,2,2,113781.0
1,1,0,0.0,0,0,15.75,2,2,30.0
1,1,1,0.625,0,1,247.5208,1,0,817558.0
1,3,1,0.0,0,0,15.75,2,1,7.0
1,3,0,0.025,0,0,15.75,2,1,23.0
0,3,0,0.2375,0,0,0.0,2,2,60.0
1,2,1,0.0,0,0,15.75,2,1,12.0
0,3,0,0.0,0,0,15.75,2,2,8.0
1,1,0,0.0125,1,2,151.55,2,2,113781.0
1,1,1,0.0,0,0,15.75,2,0,110.0
1,1,1,0.2125,1,0,108.9,2,0,817758.0
0,2,0,0.375,1,0,24.0,2,0,73381.0
1,1,1,0.375,0,0,56.9292,4,0,817485.0
1,1,1,0.3,0,0,83.1583,2,0,11767.0
1,1,1,0.225,2,2,262.375,1,0,817608.0
0,2,1,0.325,1,1,26.0,2,2,250651.0
0,3,0,0.35,0,0,7.8958,2,2,349243.0
0,2,0,0.5375,1,1,26.25,2,2,513529.0
1,3,1,0.325,0,0,7.8542,2,2,347470.0
1,2,1,0.3,1,0,26.0,2,2,244367.0
0,2,0,0.675,0,0,14.0,2,2,29011.0
1,1,1,0.3875,0,2,164.8667,2,2,36928.0
1,1,1,0.5,1,1,134.5,4,0,16966.0
0,3,0,0.275,0,0,7.25,2,2,15.0
0,3,0,0.3375,0,0,7.8958,2,2,349219.0
1,2,1,0.375,0,0,12.35,2,1,234818.0
1,2,1,0.275,1,1,29.0,2,2,248738.0
0,3,0,0.1,2,0,15.75,2,2,69.0
1,1,1,0.45,0,0,135.6333,2,0,817760.0
0,3,0,0.7625,0,0,6.2375,2,2,345364.0
1,2,1,0.45,0,0,13.0,3,2,28551.0
1,3,1,0.3875,1,1,20.525,2,2,363291.0
1,1,1,0.2,0,1,57.9792,1,0,111361.0
1,3,1,0.025,0,0,15.75,2,1,23.0
0,1,0,0.575,0,0,28.5,2,2,113043.0
0,1,0,0.475,0,1,153.4625,2,2,817582.0
0,3,0,0.2,2,0,18.0,2,2,345764.0
1,1,1,0.0125,0,0,15.75,2,2,133.0
0,3,0,0.0,0,0,15.75,2,2,7.0
0,1,0,0.3625,1,0,66.6,2,2,113776.0
1,1,1,0.5125,0,0,134.5,4,0,16966.0
1,3,0,0.5625,0,0,8.05,2,2,7598.0
0,1,0,0.5625,0,0,35.5,7,2,113784.0
1,2,0,0.025,1,1,26.0,5,2,230080.0
1,1,1,0.3,3,2,263.0,2,2,19950.0
0,2,0,0.35,0,0,13.0,2,2,248740.0
0,2,0,0.3125,0,0,13.0,2,2,244361.0
0,2,0,0.45,0,0,13.0,2,2,229236.0
1,2,1,0.3,0,0,13.0,5,2,248733.0
1,2,1,0.5,0,0,13.0,2,2,31418.0
1,3,1,0.0125,0,0,15.75,2,2,16.0
1,3,0,0.0375,1,1,15.9,2,2,337671.0
0,3,0,0.525,0,0,8.6625,2,2,315088.0
0,3,0,0.2875,0,0,9.225,2,2,7267.0
0,1,0,0.0,0,0,15.75,2,2,35.0
0,3,0,0.1875,1,1,7.2292,2,0,2695.0
0,3,0,0.3125,1,0,17.8,2,2,349237.0
0,3,0,0.0,0,0,15.75,2,0,7.0
0,3,0,0.35,0,0,9.5,2,2,345783.0
1,1,1,0.275,0,1,55.0,4,2,113505.0
0,2,1,0.475,0,0,13.0,2,2,237671.0
1,3,1,0.0,0,0,15.75,2,1,7.0
1,3,1,0.0,0,0,15.75,2,1,7.0
0,3,0,0.5,1,4,27.9,2,2,347088.0
0,2,0,0.3625,1,0,27.7208,2,0,112167.0
0,3,1,0.5625,0,1,14.4542,2,0,2691.0
0,3,0,0.4375,0,0,7.05,2,2,143101310.0
0,3,0,0.0125,0,0,15.75,2,1,15.0
0,3,0,0.375,0,0,7.25,2,2,37076.0
1,1,1,0.75,1,0,75.25,3,0,110813.0
1,3,1,0.0,0,0,15.75,2,0,7.0
1,3,1,0.0,0,0,15.75,2,1,7.0
1,1,1,0.3,0,0,69.3,1,0,817477.0
1,1,0,0.3125,1,0,55.4417,4,0,11765.0
0,3,0,0.225,1,0,6.4958,2,2,3101267.0
0,3,0,0.2375,0,0,8.05,2,2,323951.0
0,1,0,0.275,0,0,135.6333,2,0,817760.0
0,3,1,0.0375,3,1,21.075,2,2,349909.0
1,1,1,0.0125,0,0,15.75,2,0,82.0
1,3,1,0.275,0,0,7.25,2,2,37077.0
0,1,0,0.3375,0,2,211.5,2,0,113503.0
0,3,0,0.25,0,0,4.0125,2,0,2648.0
0,3,0,0.2375,0,0,7.775,2,2,347069.0
1,1,1,0.525,0,0,227.525,2,0,817757.0
1,3,1,0.0125,0,2,15.7417,2,0,2653.0
0,3,0,0.4,0,0,7.925,2,2,152.0
1,1,1,0.4375,1,0,52.0,2,2,113789.0
0,3,0,0.0,0,0,15.75,2,2,7.0
0,2,0,0.225,0,0,73.5,2,2,1014879.0
0,3,0,0.0125,5,2,46.9,2,2,42144.0
1,2,1,0.45,0,0,13.0,2,2,27849.0
0,3,0,0.0,0,0,15.75,2,1,7.0
1,2,1,0.2125,0,0,12.0,2,0,111748.0
1,1,0,0.45,1,2,120.0,1,2,113760.0
1,3,0,0.2625,0,0,7.7958,2,2,350034.0
0,3,0,0.35,2,0,7.925,2,2,3101277.0
1,1,1,0.2875,1,0,113.275,3,0,35273.0
1,3,1,0.3,0,2,16.7,6,2,99549.0
0,3,0,0.275,0,0,7.7958,2,2,350052.0
0,3,1,0.3875,0,0,7.8542,2,2,350407.0
0,2,0,0.575,0,0,26.0,2,2,28403.0
0,2,0,0.2875,0,0,10.5,2,2,244278.0
1,2,1,0.35,0,0,12.65,2,2,240929.0
1,3,0,0.4875,0,0,7.925,2,2,152.0
0,3,0,0.325,0,0,8.05,2,2,341826.0
0,3,1,0.2625,1,0,9.825,2,2,4137.0
0,3,0,0.35,1,0,15.85,2,2,152.0
0,3,1,0.25,0,0,8.6625,2,2,315096.0
0,2,0,0.425,1,0,21.0,2,2,28664.0
0,3,0,0.6375,0,0,7.75,2,2,347064.0
1,2,0,0.0375,1,1,18.75,2,2,29106.0
0,3,0,0.2625,0,0,7.775,2,2,312992.0
0,3,1,0.0375,1,0,15.75,2,2,25.0
0,3,0,0.0,0,0,15.75,2,2,7.0
0,3,0,0.0,0,0,15.75,2,1,6.0
1,1,1,0.4125,1,0,90.0,2,1,19928.0
0,2,0,0.0,0,0,15.75,2,2,0.0
1,3,0,0.55,0,0,7.925,2,2,152.0
0,3,1,0.0,0,0,15.75,2,2,8.0
1,2,1,0.425,1,1,32.5,2,2,28220.0
1,2,1,0.225,0,2,13.0,2,2,250652.0
0,2,0,0.375,0,0,13.0,2,2,28228.0
0,3,1,0.125,0,2,24.15,2,2,345773.0
0,3,0,0.0,0,0,15.75,2,0,7.0
0,3,0,0.2625,0,0,7.7333,2,1,15.0
0,3,0,0.3625,0,0,7.875,2,2,315082.0
0,3,1,0.35,1,1,14.4,2,2,347080.0
0,3,0,0.225,1,1,20.2125,2,2,370129.0
0,3,0,0.0,0,0,15.75,2,2,7.0
1,2,1,0.35,1,0,26.0,2,2,2003.0
1,2,1,0.2375,0,0,26.0,2,2,250655.0
0,3,0,0.0,0,0,15.75,2,1,7.0
1,3,0,0.4,0,0,8.05,4,2,14392078.0
1,1,0,0.35,0,0,26.55,2,2,110564.0
1,3,1,0.0125,0,0,15.75,2,2,16.0
1,2,1,0.525,1,0,26.0,2,2,113085.0
0,3,0,0.2125,0,0,7.125,2,2,152.0
0,1,0,0.625,1,0,55.9,4,2,13507.0
